dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
pfhjZfDGYK7,201812,A4lPaACKXgz,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,dNU0m7vxYmC,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,A4HQc9njgJm,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,PMlKNsmJnch,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,gB5msJXYqi3,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,We5EGKFrvL9,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,ua4KtwoCXTb,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,T233TRlr4Oi,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,UAX3lWWAfLt,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,sheNdFEkizC,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,EfcqpK711vX,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,mhsbX2lvQO0,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,ONK6zzBcoUd,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,SZfWjwl9za4,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,eO0EFwUPxXV,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,NlyjxHuFLcj,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,PrZ6w2gsdao,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,RG83TLWuP6B,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,tDACiGlVIab,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,t0PeB9bRxEF,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,ntZ5oQV9221,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,HtEMrABlow9,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,BZJ86Bcx97b,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,KRL3eXcM1Qu,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,B2xrUCZsKvW,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,u3mRNnTBFQR,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,eZsyZzrPNWj,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,YOBmu9CXNsb,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,OWSEMgV8soN,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,oUCviRX0mbL,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,e6dGH6wDxWF,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,kxcTcosUZS4,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,Zj0YzOSi4GB,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,JjuEecpOuyD,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,luR5wtWc3lU,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,PicxoKa9Fcn,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,yjdbzl5GIhW,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,W4mAa6wRkPr,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,F2QLsciVkdg,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,eDjNn2vn0V8,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,EpY6mxMB5BM,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,sPNsZ2pz5Rp,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,ptnClFZuRgm,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,SULKlJEmZ6G,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,D2QYM4u2zLx,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,A55dVNoHGEt,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,GTT9ldtimfa,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,w4Wbvh93cR5,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,UPtFR2q8rxn,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,seH3t681yNo,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,kDWjvQ08J30,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,pEpNMmbB86Y,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,VPv1fdtbIcf,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,cKNMjkCv6Ne,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,sehxsIizo5W,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,YWO3XF03oUk,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,D9gXbDcgLBs,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,cMO6wTE2jfp,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,Y3RI78Vyoj2,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,jkI0Qt22Vum,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,xV81RS4pjrj,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,FZ6HhFrJvEt,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,rPQHhoZ0pUI,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
,201812,,,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,zpZe3QseTDL,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,Vrk2ADgr1gt,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,DuamJ92EoKF,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,iIj56268Js4,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,MwRndwhV4ic,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,GuCRztcljEs,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,cel2FRf1BTL,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,UNZJkWAAY4L,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,y41CvHMIKKF,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,RdAmTGizx8L,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,IkuYPoTSzh6,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,sArM7mYLgCH,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,TIce6Zmv4ht,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,T7y0nz2qsGJ,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,K20sgY6YJlR,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,oseYrSnwiO4,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,kJLfIxxGwcq,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,fTSaWY1pzW8,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,rxwA3feXlsv,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,v9gn5I7YiEO,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,bAW140uFwlr,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,eMnI3PKYZcJ,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,h2m3erkUjHf,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,aIwtDsRm2g2,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,yIkbHvkgo3B,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,vXVGcMvdPJs,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,dKXHFBSVCD3,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,awnwQZnNICo,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,xjwYMPhjvr5,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,ha0dSLCaZIE,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,M7LpdaNM3Ps,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,piv6dWHqNQc,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,h0qo6CUFlce,tt7wboxf9Rv,,,openmrs.reporting,2019-01-15
