dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
R9rKPpArgY0,201911,gB5msJXYqi3,BxFbWUd6OKV,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,CfheeUGMtIR,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,DtH0HcmLhql,,1,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,HDBD9ZdGXU4,,1,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,KZflzwROPZy,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,M8e8Ir2lGIv,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,MZAK5l2zUMS,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,NHwtIheYXsI,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,PRSXCXzhGTa,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,QEwB6xwuVM2,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,QGKIHENnovm,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,QQLtjV1GwP8,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,U5JEL6X84ws,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,YO5cyLrsZj3,,2,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,b0ZbzVTCyy8,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,dW6Kovehl5H,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,fOWShkz3YEf,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,fo0Msn7LsKA,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,k2UtJMBxiJD,,1,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,kamXEMTqIgs,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,qSfMxZFleth,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,rsErCBanzJl,,1,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,vfu0jBiI9yl,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,wFGHhIHvJ81,,1,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,No Mapping,CsQ2NnX6Qx2,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,No Mapping,J1shDFmLPOr,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,No Mapping,lcwxFuhQZNC,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,No Mapping,tqmpsV0klTt,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,RoCx0wMPOFi,CsQ2NnX6Qx2,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,RoCx0wMPOFi,J1shDFmLPOr,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,RoCx0wMPOFi,lcwxFuhQZNC,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,RoCx0wMPOFi,tqmpsV0klTt,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,gB5msJXYqi3,CsQ2NnX6Qx2,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,gB5msJXYqi3,J1shDFmLPOr,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,gB5msJXYqi3,lcwxFuhQZNC,,0,openmrs.reporting,2019-12-05
cFuExjiW8z2,201911,gB5msJXYqi3,tqmpsV0klTt,,0,openmrs.reporting,2019-12-05
oUaSGdWvKji,201911,No Mapping,jF6cd1dU990,,0,openmrs.reporting,2019-12-05
oUaSGdWvKji,201911,RoCx0wMPOFi,jF6cd1dU990,,0,openmrs.reporting,2019-12-05
oUaSGdWvKji,201911,gB5msJXYqi3,jF6cd1dU990,,7,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,BxFbWUd6OKV,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,CfheeUGMtIR,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,DtH0HcmLhql,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,HDBD9ZdGXU4,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,KZflzwROPZy,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,M8e8Ir2lGIv,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,MZAK5l2zUMS,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,NHwtIheYXsI,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,PRSXCXzhGTa,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,QEwB6xwuVM2,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,QGKIHENnovm,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,QQLtjV1GwP8,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,U5JEL6X84ws,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,YO5cyLrsZj3,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,b0ZbzVTCyy8,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,dW6Kovehl5H,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,fOWShkz3YEf,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,fo0Msn7LsKA,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,k2UtJMBxiJD,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,kamXEMTqIgs,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,qSfMxZFleth,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,rsErCBanzJl,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,vfu0jBiI9yl,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,No Mapping,wFGHhIHvJ81,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,BxFbWUd6OKV,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,CfheeUGMtIR,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,DtH0HcmLhql,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,HDBD9ZdGXU4,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,KZflzwROPZy,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,M8e8Ir2lGIv,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,MZAK5l2zUMS,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,NHwtIheYXsI,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,PRSXCXzhGTa,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,QEwB6xwuVM2,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,QGKIHENnovm,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,QQLtjV1GwP8,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,U5JEL6X84ws,,1,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,YO5cyLrsZj3,,1,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,b0ZbzVTCyy8,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,dW6Kovehl5H,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,fOWShkz3YEf,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,fo0Msn7LsKA,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,k2UtJMBxiJD,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,kamXEMTqIgs,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,qSfMxZFleth,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,rsErCBanzJl,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,vfu0jBiI9yl,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,RoCx0wMPOFi,wFGHhIHvJ81,,0,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,BxFbWUd6OKV,,11,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,CfheeUGMtIR,,2,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,DtH0HcmLhql,,7,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,HDBD9ZdGXU4,,83,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,KZflzwROPZy,,2,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,M8e8Ir2lGIv,,13,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,MZAK5l2zUMS,,1,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,NHwtIheYXsI,,3,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,PRSXCXzhGTa,,10,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,QEwB6xwuVM2,,10,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,QGKIHENnovm,,2,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,QQLtjV1GwP8,,65,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,U5JEL6X84ws,,33,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,YO5cyLrsZj3,,16,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,b0ZbzVTCyy8,,12,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,dW6Kovehl5H,,13,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,fOWShkz3YEf,,10,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,fo0Msn7LsKA,,2,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,k2UtJMBxiJD,,22,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,kamXEMTqIgs,,13,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,qSfMxZFleth,,9,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,rsErCBanzJl,,1,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,vfu0jBiI9yl,,6,openmrs.reporting,2019-12-05
MrtkiN5SEwO,201911,gB5msJXYqi3,wFGHhIHvJ81,,42,openmrs.reporting,2019-12-05
X4NjePdr5sA,201911,No Mapping,jF6cd1dU990,,0,openmrs.reporting,2019-12-05
X4NjePdr5sA,201911,RoCx0wMPOFi,jF6cd1dU990,,2,openmrs.reporting,2019-12-05
X4NjePdr5sA,201911,gB5msJXYqi3,jF6cd1dU990,,388,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,Axe42zdmk70,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,CBk8rNR1do7,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,CaROWCjNqDn,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,EFQIMat7AkM,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,En96j0bxFB3,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,EwUUczdVxnO,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,Jynnu7yYhnV,,0,openmrs.reporting,2019-12-05
